S.NO.,Product Name ,Product Specifications,Manufacture,Qty,Price,GST
128,NEEDLE HOLDERS (RYDER),"18cm/ 7""",,1,316.8,12%
129,NEEDLE HOLDERS (RYDER),"20cm/ 8""",,1,316.8,12%
130,NEEDLE HOLDERS (RYDER),"23cm/ 9""",,1,448.8,12%
131,NEEDLE HOLDERS (RYDER),"26cm/10 1/4""",,1,580.8,12%
132,DE BAKEY,"16cm/6 1/4""",,1,1914,12%
133,DE BAKEY,"18cm/ 7""",,1,2046,12%
134,DE BAKEY,"20cm/ 8""",,1,2046,12%
135,DE BAKEY,"23cm/ 9""",,1,2178,12%
136,WEBSTER SMOOTH JAWS,"13cm/ 5""",,1,594,12%
137,DE BAKEY VASCULAR,"18cm/ 7""",,1,2046,12%
138,DE BAKEY VASCULAR,"20cm/ 8""",,1,2046,12%
139,WIENER (SUTURE HOOK),"23.5cm/9 1/4""",,1,594,12%
140,CASPAR (KNOT TIER AND LIGATURE ADJUSTER),"23cm/ 9""",,1,594,12%
141,CASPAR BAYONET (KNOT TIER AND LIGATURE ADJUSTER),"23cm/ 9""",,1,594,12%
142,WARD (SKIN CLOSER),"18cm/ 7""",,1,0,12%
143,COLLIN (FOR SKIN STAPLE REMOVING),"13cm/ 5""",,1,462,12%
144,SYME (ANEURYSM),"16.5cm/6 1/2""",,1,726,12%
145,REVERDIN (PORT CLOSING NEEDLE),"14cm/5 1/2""",,1,0,12%
146,REVERDIN (PORT CLOSING NEEDLE),"19.5cm/7 3/4""",,1,0,12%
147,DESCHAMPS (SHARP) RIGHT HAND,"20cm/ 8""",,1,1122,12%
148,DESCHAMPS (SHARP) LEFT HAND,"20cm/ 8""",,1,1122,12%
149,DESCHAMPS (BLUNT) RIGHT HAND,"20cm/ 8""",,1,1122,12%
150,DESCHAMPS (BLUNT) LEFT HAND,"20cm/ 8""",,1,1122,12%
151,DESCHAMPS CORK SCREW SHAPE (BLUNT) RIGHT HAND,"20cm/ 8""",,1,1122,12%
152,DESCHAMPS CORK SCREW SHAPE (BLUNT) LEFT HAND,"20cm/8""",,1,1122,12%
153,STANDARD SCISSOR STR (BLUNT+BLUNT),"13cm/ 5""",,1,237.6,12%
154,STANDARD SCISSOR STR (BLUNT+BLUNT),"15cm/ 6""",,1,237.6,12%
155,STANDARD SCISSOR STR (BLUNT+BLUNT),"18cm/ 7""",,1,316.8,12%
156,STANDARD SCISSOR STR (BLUNT+BLUNT),"20cm/ 8""",,1,316.8,12%
157,STANDARD SCISSOR  STR (SHARP+BLUNT),"13cm/ 5""",,1,237.6,12%
158,STANDARD SCISSOR  STR (SHARP+BLUNT),"15cm/ 6""",,1,237.6,12%
159,STANDARD SCISSOR STR (SHARP+BLUNT),"18cm/ 7""",,1,316.8,12%
160,STANDARD SCISSOR STR (SHARP+BLUNT),"20cm/ 8""",,1,316.8,12%
161,STANDARD SCISSOR STR (SHARP+SHARP),"13cm/ 5""",,1,237.6,12%
162,STANDARD SCISSOR STR (SHARP+SHARP),"15cm/ 6""",,1,237.6,12%
163,STANDARD SCISSOR STR (SHARP+SHARP),"18cm/ 7""",,1,316.8,12%
164,STANDARD SCISSOR STR (SHARP+SHARP),"20cm/ 8""",,1,316.8,12%
165,STANDARD SCISSOR CVD (BLUNT+BLUNT),"13cm/ 5""",,1,237.6,12%
166,STANDARD SCISSOR CVD (BLUNT+BLUNT),"15cm/ 6""",,1,237.6,12%
167,STANDARD SCISSOR CVD (BLUNT+BLUNT),"18cm/ 7""",,1,316.8,12%
168,STANDARD SCISSOR CVD (BLUNT+BLUNT),"20cm/ 8""",,1,316.8,12%
169,STANDARD SCISSOR CVD (SHARP+BLUNT),"13cm/ 5""",,1,237.6,12%
170,STANDARD SCISSOR CVD (SHARP+BLUNT),"15cm/ 6""",,1,237.6,12%
171,STANDARD SCISSOR CVD (SHARP+BLUNT),"18cm/ 7""",,1,316.8,12%
172,STANDARD SCISSOR CVD (SHARP+BLUNT),"20cm/ 8""",,1,316.8,12%
173,STANDARD SCISSOR CVD (SHARP+SHARP),"13cm/ 5""",,1,237.6,12%
174,STANDARD SCISSOR CVD (SHARP+SHARP),"15cm/ 6""",,1,237.6,12%
175,STANDARD SCISSOR CVD (SHARP+SHARP),"18cm/ 7""",,1,316.8,12%
176,STANDARD SCISSOR CVD (SHARP+SHARP),"20cm/ 8""",,1,316.8,12%
177,PROBE SS (MALLEABLE),"18cm/ 7""",,1,198,12%
178,PROBE SS (MALLAEBLE),"20cm/ 8""",,1,198,12%
179,PROBE SS (MALLAEBLE),"25cm/ 10""",,1,237.6,12%
180,PROBE SS (MALLAEBLE),"30cm/ 12""",,1,330,12%
181,PROBE COPPER (MALLAEBLE),"18cm/ 7""",,1,330,12%
182,PROBE COPPER (MALLAEBLE),"20cm/ 8""",,1,330,12%
183,PROBE COPPER (MALLAEBLE),"25cm/ 10""",,1,462,12%
184,PROBE COPPER (MALLAEBLE),"30cm/ 12""",,1,462,12%
185,PROBE (WITH EYE),"15cm/ 6""",,1,237.6,12%
186,PROBE (WITH EYE),"18cm/ 7""",,1,343.2,12%
187,PROBE (WITH EYE),"20cm/ 8""",,1,343.2,12%
188,PROBES (DIRECTOR),"13cm/ 5""",,1,330,12%
189,PROBES DERECTOR (WITH TIP),"13cm/ 5""",,1,330,12%
190,LOCKHART-MUMMERY (FISTULA PROBE),"16.5cm/6 1/2""",,1,330,12%
191,LOCKHART-MUMMERY (FISTULA PROBE),"16.5cm/6 1/2""",,1,330,12%
192,LOCKHART-MUMMERY (FISTULA PROBE),"16.5cm/6 1/2""",,1,330,12%
193,LOCKHART-MUMMERY (FISTULA PROBE),"16.5cm/6 1/2""",,1,330,12%
194,DISSECTING SCISSORS (MAYO STR),"15cm/ 6""",,1,237.6,12%
195,DISSECTING SCISSORS (MAYO STR),"18cm/ 7""",,1,316.8,12%
196,DISSECTING SCISSORS (MAYO STR),"20cm/ 8""",,1,316.8,12%
197,DISSECTING SCISSORS (MAYO CVD),"15cm/ 6""",,1,237.6,12%
198,DISSECTING SCISSORS (MAYO CVD),"18cm/ 7""",,1,316.8,12%
199,DISSECTING SCISSORS (MAYO CVD),"20cm/ 8""",,1,316.8,12%
200,MAYO-HARRINGTON (STR),"22.5cm/ 9""",,1,448.8,12%
201,MAYO-HARRINGTON (STR),"25cm/ 10""",,1,448.8,12%
202,MAYO-HARRINGTON (CVD),"22.5cm/ 9""",,1,448.8,12%
203,MAYO-HARRINGTON (CVD),"25cm/ 10""",,1,448.8,12%
204,MAYO-STILLE (STR),"15cm/ 6""",,1,316.8,12%
205,MAYO-STILLE (STR),"18cm/ 7""",,1,448.8,12%
206,MAYO-STILLE (STR),"20cm/ 8""",,1,448.8,12%
207,MAYO-STILLE (CVD),"15cm/ 6""",,1,316.8,12%
208,MAYO-STILLE (CVD),"18cm/ 7""",,1,448.8,12%
209,MAYO-STILLE (CVD),"20cm/ 8""",,1,448.8,12%
210,DISSECTING SCISSORS (METZENBAUM STR),"10cm/ 4""",,1,343.2,12%
211,DISSECTING SCISSORS (METZENBAUM STR),"12cm/ 5""",,1,237.6,12%
212,DISSECTING SCISSORS (METZENBAUM STR),"15cm/ 6""",,1,237.6,12%
213,DISSECTING SCISSORS (METZENBAUM STR),"18cm/ 7""",,1,316.8,12%
214,DISSECTING SCISSORS (METZENBAUM STR),"20cm/ 8""",,1,316.8,12%
215,DISSECTING SCISSORS (METZENBAUM STR),"23cm/ 9""",,1,448.8,12%
216,DISSECTING SCISSORS (METZENBAUM STR),"25cm/ 10""",,1,448.8,12%
217,DISSECTING SCISSORS (METZENBAUM STR),"28cm/ 11""",,1,594,12%
218,DISSECTING SCISSORS (METZENBAUM STR),"30cm/ 12""",,1,594,12%
219,DISSECTING SCISSORS (METZENBAUM CVD),"10cm/ 4""",,1,343.2,12%
220,DISSECTING SCISSORS (METZENBAUM CVD),"12cm/ 5""",,1,237.6,12%
221,DISSECTING SCISSORS (METZENBAUM CVD),"15cm/ 6""",,1,237.6,12%
222,DISSECTING SCISSORS (METZENBAUM CVD),"18cm/ 7""",,1,316.8,12%
223,DISSECTING SCISSORS (METZENBAUM CVD),"20cm/ 8""",,1,316.8,12%
224,DISSECTING SCISSORS (METZENBAUM CVD),"23cm/ 9""",,1,448.8,12%
225,DISSECTING SCISSORS (METZENBAUM CVD),"25cm/ 10""",,1,448.8,12%
226,DISSECTING SCISSORS (METZENBAUM CVD),"28cm/ 11""",,1,594,12%
227,DISSECTING SCISSORS (METZENBAUM CVD),"30cm/ 12""",,1,594,12%
228,DISSECTING SCISSORS (NELSON METZENBAUM STR),"10cm/ 4""",,1,343.2,12%
229,DISSECTING SCISSORS (NELSON METZENBAUM STR),"12cm/ 5""",,1,237.6,12%
230,DISSECTING SCISSORS (NELSON METZENBAUM STR),"15cm/ 6""",,1,237.6,12%
231,DISSECTING SCISSORS (NELSON METZENBAUM STR),"18cm/ 7""",,1,316.8,12%
232,DISSECTING SCISSORS (NELSON METZENBAUM STR),"20cm/ 8""",,1,316.8,12%
233,DISSECTING SCISSORS (NELSON METZENBAUM STR),"23cm/ 9""",,1,448.8,12%
234,DISSECTING SCISSORS (NELSON METZENBAUM STR),"25cm/ 10""",,1,448.8,12%
235,DISSECTING SCISSORS (NELSON METZENBAUM STR),"28cm/ 11""",,1,594,12%
236,DISSECTING SCISSORS (NELSON METZENBAUM STR),"30cm/ 12""",,1,594,12%
237,DISSECTING SCISSORS (NELSON METZENBAUM CVD),"10cm/ 4""",,1,343.2,12%
238,DISSECTING SCISSORS (NELSON METZENBAUM CVD),"12cm/ 5""",,1,237.6,12%
239,DISSECTING SCISSORS (NELSON METZENBAUM CVD),"15cm/ 6""",,1,237.6,12%
240,DISSECTING SCISSORS (NELSON METZENBAUM CVD),"18cm/ 7""",,1,316.8,12%
241,DISSECTING SCISSORS (NELSON METZENBAUM CVD),"20cm/ 8""",,1,316.8,12%
242,DISSECTING SCISSORS (NELSON METZENBAUM CVD),"23cm/ 9""",,1,448.8,12%
243,DISSECTING SCISSORS (NELSON METZENBAUM CVD),"25cm/ 10""",,1,448.8,12%
244,DISSECTING SCISSORS (NELSON METZENBAUM CVD),"28cm/ 11""",,1,594,12%
245,DISSECTING SCISSORS (NELSON METZENBAUM CVD),"30cm/ 12""",,1,594,12%
246,DISSECTING SCISSORS (METZENBAUM FINE STR),"10cm/ 4""",,1,343.2,12%
247,DISSECTING SCISSORS (METZENBAUM FINE STR),"12cm/ 5""",,1,316.8,12%
248,DISSECTING SCISSORS (METZENBAUM FINE STR),"15cm/ 6""",,1,316.8,12%
249,DISSECTING SCISSORS (METZENBAUM FINE STR),"18cm/ 7""",,1,448.8,12%
250,DISSECTING SCISSORS (METZENBAUM FINE STR),"20cm/ 8""",,1,448.8,12%
251,DISSECTING SCISSORS (METZENBAUM FINE STR),"23cm/ 9""",,1,580.8,12%
252,DISSECTING SCISSORS (METZENBAUM FINE STR),"25cm/ 10""",,1,726,12%
